StateCode,CountyCode,StateName,CountyName,ConfirmedCount_1992_1996,ConfirmedCount_1997_2001,ConfirmedCount_2002_2006,ConfirmedCount_2007_2011
1,0,Alabama,Alabama,,,,1
1,1,Alabama,Autauga County,,2,,
1,3,Alabama,Baldwin County,4,4,1,1
1,5,Alabama,Barbour County,,,,
1,7,Alabama,Bibb County,1,,,
1,9,Alabama,Blount County,,,,
1,11,Alabama,Bullock County,,,,
1,13,Alabama,Butler County,,,,
1,15,Alabama,Calhoun County,1,3,,2
1,17,Alabama,Chambers County,,,,2
1,19,Alabama,Cherokee County,,,,
1,21,Alabama,Chilton County,,,1,
1,23,Alabama,Choctaw County,,6,,
1,25,Alabama,Clarke County,1,1,,
1,27,Alabama,Clay County,1,,,
1,29,Alabama,Cleburne County,,,,
1,31,Alabama,Coffee County,1,,1,
1,33,Alabama,Colbert County,,1,,
1,35,Alabama,Conecuh County,,,,
1,37,Alabama,Coosa County,,,,
1,39,Alabama,Covington County,,,,
1,41,Alabama,Crenshaw County,,,,
1,43,Alabama,Cullman County,,,,
1,45,Alabama,Dale County,,,,1
1,47,Alabama,Dallas County,,,,
1,49,Alabama,DeKalb County,,,2,
1,51,Alabama,Elmore County,,2,,
1,53,Alabama,Escambia County,,,,
1,55,Alabama,Etowah County,,,,
1,57,Alabama,Fayette County,,1,,
1,59,Alabama,Franklin County,,,,
1,61,Alabama,Geneva County,,,,1
1,63,Alabama,Greene County,,,,1
1,65,Alabama,Hale County,,,,
1,67,Alabama,Henry County,,,,
1,69,Alabama,Houston County,,1,,2
1,71,Alabama,Jackson County,,,,1
1,73,Alabama,Jefferson County,6,9,9,2
1,75,Alabama,Lamar County,,,,
1,77,Alabama,Lauderdale County,,,,1
1,79,Alabama,Lawrence County,1,,,
1,81,Alabama,Lee County,1,,1,2
1,83,Alabama,Limestone County,1,1,,
1,85,Alabama,Lowndes County,,,,
1,87,Alabama,Macon County,,,,
1,89,Alabama,Madison County,3,7,13,5
1,91,Alabama,Marengo County,,,,1
1,93,Alabama,Marion County,,1,1,
1,95,Alabama,Marshall County,,2,,1
1,97,Alabama,Mobile County,15,16,5,3
1,99,Alabama,Monroe County,,,,
